 DonateButtonManager props  Object
 A preload for 'https://odrviewer.io/viewer.wasm' is found, but is not used because the request credentials mode does not match. Consider taking a look at crossorigin attribute.
instantiateAsync @ viewer.js:1
 [WARN] Road #288: planView::geometry::s -2.237402 < 0, set s=0
 [WARN] Road #289: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #290: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #291: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #292: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #293: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #294: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #296: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #297: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #298: planView::geometry::s -1.385408 < 0, set s=0
 [WARN] Road #299: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #301: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #302: planView::geometry::s -4.318849 < 0, set s=0
 [WARN] Road #303: planView::geometry::s -2.238503 < 0, set s=0
 [WARN] Road #304: planView::geometry::s -2.335818 < 0, set s=0
 [WARN] Road #305: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #306: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #307: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #308: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #309: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #310: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #311: planView::geometry::s -0.500000 < 0, set s=0
 [WARN] Road #312: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #313: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #314: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #315: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #316: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #317: planView::geometry::s -1.741979 < 0, set s=0
 [WARN] Road #318: planView::geometry::s -1.006569 < 0, set s=0
 [WARN] Road #319: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #320: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #321: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #323: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #324: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #325: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #326: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #327: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #328: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #329: planView::geometry::s -5.250000 < 0, set s=0
 [WARN] Road #330: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #332: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #333: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #334: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #335: planView::geometry::s -3.250000 < 0, set s=0
 [WARN] Road #336: planView::geometry::s -3.250000 < 0, set s=0
 [WARN] Road #337: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #338: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #339: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #340: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #341: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #342: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #343: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #345: planView::geometry::s -3.920439 < 0, set s=0
 [WARN] Road #347: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #348: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #349: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #350: planView::geometry::s -3.500000 < 0, set s=0
 [WARN] Road #351: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #352: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #354: planView::geometry::s -3.000000 < 0, set s=0
 [WARN] Road #355: planView::geometry::s -2.778820 < 0, set s=0
 [WARN] Road #356: planView::geometry::s -3.000000 < 0, set s=0
